ticker,name,homepage,handle,hashtag
ASPS,Altisource Portfolio Solutions,http://www.altisource.com,Altisource,Altisource
IRDM,Iridium Communications,https://www.iridium.com/,IridiumComm,Iridium
STRA,Strayer Education,http://www.strayereducation.com/,StrayerInc,Strayer
RJET,Republic Airways Holdings,http://www.rjet.com/,RepublicAirways,RepublicAirways
CLRO,ClearOne,http://www.clearone.com/,ClearOne,ClearOne
FFIV,F5 Networks,https://f5.com/,F5Networks,F5Networks
GOGO,Gogo,http://ir.gogoair.com/,Gogo,Gogo
SBSI,Southside Bancshares,https://www.southside.com/,,SouthsideBancshares
MBVT,Merchants Bancshares,https://www.mbvt.com/,,MerchantsBancshares
AHPI,Allied Healthcare Products,http://www.alliedhpi.com/,,
KTEC,Key Technology,http://www.key.net/,,KeyTechnology
BKYF,Bank Of Kentucky Financial Corp,http://www.bankofky.com/,,
NXPI,NXP Semiconductors,http://www.nxp.com/,NXP,NXP
BIOL,BIOLASE,http://www.biolase.com/,biolaseinc,Biolase
BDBD,Boulder Brands,http://www.boulderbrands.com/,,BoulderBrands
GALTU,Galectin Therapeutics,,GalectinGALT,Galectin
INFN,Infinera Corp,https://www.infinera.com/,Infinera,Infinera
LQDT,Liquidity Services,https://www.liquidityservices.com/,liquidityinc,LiquidityServices
ESBK,Elmira Savings Bank,http://www.elmirasavingsbank.com/,,ElmiraSavings
CERE,Ceres Inc,http://ceres.net/,CeresInc,Ceres
MRTN,Marten Transport,http://www.marten.com/,MartenTransport,MartenTransport
TWER,Towerstream,http://www.towerstream.com/,Towerstream,Towerstream
HMTV,Hemisphere Media Group,http://www.hemispheretv.com/,,
XRSC,XRS Corp,http://www.omnitracs.com/,,XRS
WBKC,WOLVERINE BANCORP,http://ir.wolverinebank.com/,WolverineBank,WolverineBank
ENG,ENGlobal,http://www.englobal.com/,ENGlobal,ENGlobal
WHLR,Wheeler Real Estate,http://www.whlr.us/,,
PSCT,PowerShares S&P SmlCp Inftn Thgy Pfo,https://www.invesco.com/,InvescoUS,
CTRL,Control4,http://www.control4.com/,Control4,Control4
EMCB,WisdomTree,https://www.wisdomtree.com/,WisdomTree,WisdomTree
CWCO,Consolidated Water Co,http://www.cwco.com/,,
SMED,Sharps Compliance,http://www.sharpsinc.com/,,SharpsCompliance
FMER,Firstmerit,http://www.firstmerit.com/,FirstMerit,FirstMerit
PCRX,Pacira Pharmaceuticals,http://www.pacira.com/,,Pacira
NVEC,NVE Corp,http://www.nve.com/index.php,,
FTEK,Fuel Tech Inc,http://www.ftek.com/,,
MZOR,Mazor Robotics,http://www.mazorrobotics.com/,MazorRobotics,Mazor
HFWA,Heritage Financial,http://www.hf-wa.com/,,
SGYPW,Synergy Pharmaceuticals,http://www.synergypharma.com/,SynergyPharma,SynergyPharma
AWRE,Aware Inc,http://www.aware.com/,,
DISCB,Discovery Communications,https://corporate.discovery.com/,DiscoveryComm,DiscoveryComm
